nome,modalidade,indicacoes,estrutura_laudo,especialidade,fonte
TC de Crânio sem Contraste,TC (Tomografia Computadorizada),"AVC, TCE, cefaleia aguda, alteração do nível de consciência","TÉCNICA: TC de crânio sem contraste intravenoso.

ACHADOS:
Parênquima cerebral: [descrever atenuação, lesões, sinais de edema]
Sistema ventricular: [descrever tamanho e simetria]
Cisternas: [descrever perviedade]
Linha média: [descrever se centrada ou desviada]
Estruturas ósseas: [descrever integridade]
Seios paranasais e mastoides: [descrever aeração]

IMPRESSÃO:
[Resumo dos achados principais e correlação clínica]",Neurorradiologia,RadReport (RSNA)
RM de Coluna Lombar,RM (Ressonância Magnética),"Lombalgia crônica, ciatalgia, suspeita de hérnia discal","TÉCNICA: RM da coluna lombar com sequências T1, T2, STIR sagitais e axiais.

ACHADOS:
Alinhamento vertebral: [descrever lordose e alinhamento]
Corpos vertebrais: [descrever altura, sinal medular]
Discos intervertebrais:
  L1-L2: [descrever altura, hidratação, protrusões]
  L2-L3: [descrever]
  L3-L4: [descrever]
  L4-L5: [descrever]
  L5-S1: [descrever]
Canal vertebral: [descrever calibre]
Forames neurais: [descrever perviedade]
Cone medular: [descrever posição e sinal]
Partes moles: [descrever]

IMPRESSÃO:
[Resumo dos achados]",Neurorradiologia,RadReport (RSNA)
TC de Tórax com Contraste,TC (Tomografia Computadorizada),"Estadiamento oncológico, investigação de nódulo pulmonar, pneumonia complicada","TÉCNICA: TC de tórax com contraste iodado intravenoso.

ACHADOS:
Pulmões:
  Parênquima: [descrever padrões, nódulos, consolidações]
  Pleura: [descrever espessamento, derrame]
Mediastino:
  Linfonodos: [descrever tamanho e localização]
  Grandes vasos: [descrever calibre e perviedade]
Coração e pericárdio: [descrever tamanho e contornos]
Parede torácica: [descrever partes moles e estruturas ósseas]
Porção superior do abdome: [descrever achados incidentais]

IMPRESSÃO:
[Resumo dos achados com correlação clínica]",Radiologia Torácica,RadReport (RSNA)
TC de Abdome Total,TC (Tomografia Computadorizada),"Dor abdominal aguda, estadiamento oncológico, trauma abdominal","TÉCNICA: TC de abdome e pelve com contraste intravenoso e oral.

ACHADOS:
Fígado: [descrever tamanho, contornos, lesões focais]
Vesícula e vias biliares: [descrever paredes, conteúdo, calibre]
Pâncreas: [descrever tamanho, contornos, lesões]
Baço: [descrever tamanho e homogeneidade]
Adrenais: [descrever]
Rins e vias urinárias: [descrever tamanho, parênquima, sistema coletor]
Retroperitoneu: [descrever linfonodos, vasos]
Trato gastrointestinal: [descrever espessamento, distensão]
Pelve: [descrever bexiga, útero/próstata, ovários/vesículas seminais]
Parede abdominal: [descrever hérnias, coleções]

IMPRESSÃO:
[Resumo dos achados]",Radiologia Abdominal,RadReport (RSNA)
Radiografia de Tórax PA e Perfil,Radiografia (Raio-X),"Avaliação pulmonar, cardiomegalia, derrame pleural","TÉCNICA: Radiografia de tórax em PA e perfil.

ACHADOS:
Pulmões: [descrever transparência, padrões intersticiais/alveolares]
Área cardíaca: [descrever tamanho - ICT]
Hilos pulmonares: [descrever tamanho e posição]
Mediastino: [descrever contornos]
Seios costofrênicos: [descrever se livres ou velados]
Espaços pleurais: [descrever]
Arcabouço ósseo: [descrever]
Partes moles: [descrever]

IMPRESSÃO:
[Resumo dos achados]",Radiologia Geral,RadReport (RSNA)
RM de Joelho,RM (Ressonância Magnética),"Lesão meniscal, lesão ligamentar, dor crônica no joelho","TÉCNICA: RM do joelho com sequências T1, T2 FS, DP sagitais, coronais e axiais.

ACHADOS:
Meniscos:
  Menisco medial: [descrever morfologia e sinal]
  Menisco lateral: [descrever morfologia e sinal]
Ligamentos:
  LCA: [descrever integridade, espessura, sinal]
  LCP: [descrever integridade]
  Ligamento colateral medial: [descrever]
  Ligamento colateral lateral: [descrever]
Cartilagem articular: [descrever espessura e sinal]
Osso subcondral: [descrever edema, lesões]
Tendões: [descrever patelar, quadricipital, poplíteo]
Derrame articular: [quantificar se presente]
Cisto de Baker: [descrever se presente]

IMPRESSÃO:
[Resumo dos achados]",Radiologia Musculoesquelética,RadReport (RSNA)
RM de Mama Bilateral,RM (Ressonância Magnética),"Rastreamento alto risco, estadiamento de câncer de mama, avaliação de implantes","TÉCNICA: RM bilateral das mamas com contraste paramagnético (gadolínio), incluindo sequências dinâmicas.

ACHADOS:
Composição do parênquima mamário: [classificar segundo ACR]
Mama direita:
  Parênquima: [descrever]
  Realces focais: [descrever localização, tamanho, morfologia, curva de captação]
Mama esquerda:
  Parênquima: [descrever]
  Realces focais: [descrever]
Linfonodos axilares: [descrever]
Implantes (se aplicável): [descrever integridade]

IMPRESSÃO:
[Classificação BI-RADS e recomendações]",Radiologia Mamária,RadReport (RSNA)
Ultrassonografia de Tireoide,Ultrassonografia,"Nódulo tireoidiano, bócio, avaliação de tireoide palpável","TÉCNICA: Ultrassonografia da tireoide e região cervical.

ACHADOS:
Lobo direito: [dimensões] - [descrever ecogenicidade e nódulos]
Lobo esquerdo: [dimensões] - [descrever ecogenicidade e nódulos]
Istmo: [espessura]

NÓDULOS (se presentes):
  Nódulo 1: Localização, dimensões, ecogenicidade, margens, calcificações, vascularização
  [Classificar segundo TI-RADS]

Linfonodos cervicais: [descrever se visibilizados]

IMPRESSÃO:
[Classificação TI-RADS e recomendações]",Radiologia Geral,RadReport (RSNA)
TC Coronárias (Angio-TC),TC (Tomografia Computadorizada),"Avaliação de doença arterial coronariana, dor torácica atípica","TÉCNICA: Angio-TC de artérias coronárias com sincronização cardíaca e contraste iodado.

ESCORE DE CÁLCIO: [valor] Agatston

ACHADOS:
Tronco de coronária esquerda (TCE): [descrever calibre e lesões]
Artéria descendente anterior (ADA):
  Segmento proximal: [descrever]
  Segmento médio: [descrever]
  Segmento distal: [descrever]
Artéria circunflexa (ACx): [descrever segmentos e marginais]
Coronária direita (ACD): [descrever segmentos]
Anatomia coronariana: [descrever variantes se presentes]
Função ventricular: [se avaliada]

IMPRESSÃO:
[Classificação CAD-RADS e resumo]",Radiologia Cardíaca,RadReport (RSNA)
RM Cardíaca,RM (Ressonância Magnética),"Cardiomiopatia, viabilidade miocárdica, massas cardíacas","TÉCNICA: RM cardíaca com sequências cine SSFP, T1, T2 STIR, perfusão em estresse e repouso, realce tardio.

FUNÇÃO VENTRICULAR:
Ventrículo esquerdo:
  Volume diastólico final: [mL]
  Volume sistólico final: [mL]
  Fração de ejeção: [%]
  Massa miocárdica: [g]
Ventrículo direito:
  Fração de ejeção: [%]

ANÁLISE SEGMENTAR:
[Descrever motilidade por segmentos]

PERFUSÃO MIOCÁRDICA:
[Descrever defeitos de perfusão em estresse e repouso]

REALCE TARDIO:
[Descrever padrão de realce - isquêmico/não isquêmico]

IMPRESSÃO:
[Resumo com diagnóstico diferencial]",Radiologia Cardíaca,RadReport (RSNA)
Ultrassonografia Obstétrica Morfológica,Ultrassonografia,Avaliação morfológica fetal (18-24 semanas),"TÉCNICA: Ultrassonografia obstétrica via transabdominal.

IDADE GESTACIONAL: [semanas e dias] por [parâmetro]

BIOMETRIA FETAL:
  DBP: [mm] - percentil []
  CC: [mm] - percentil []
  CA: [mm] - percentil []
  CF: [mm] - percentil []
  Peso estimado: [g] - percentil []

ANATOMIA FETAL:
  Crânio e sistema nervoso central: [descrever]
  Face: [descrever perfil, órbitas, lábios]
  Coluna vertebral: [descrever]
  Tórax e coração: [descrever câmaras, vias de saída]
  Abdome: [descrever estômago, rins, bexiga, inserção cordão]
  Membros: [descrever]
  Genitália: [se visualizada]

PLACENTA: Localização [anterior/posterior], grau [0-3], espessura [mm]
CORDÃO UMBILICAL: [3 vasos]
LÍQUIDO AMNIÓTICO: ILA [cm] ou BVM [cm]

IMPRESSÃO:
[Resumo dos achados e correlação com IG]",Radiologia Obstétrica,RadReport (RSNA)
TC de Seios da Face,TC (Tomografia Computadorizada),"Sinusite, avaliação pré-operatória, complicações de sinusite","TÉCNICA: TC dos seios paranasais sem contraste, com reconstruções axiais e coronais.

ACHADOS:
Seio maxilar direito: [descrever aeração, mucosa, conteúdo]
Seio maxilar esquerdo: [descrever]
Seio frontal direito: [descrever]
Seio frontal esquerdo: [descrever]
Células etmoidais: [descrever bilateral]
Seio esfenoidal: [descrever]
Complexo óstio-meatal: [descrever perviedade bilateral]
Septo nasal: [descrever desvios]
Cornetos: [descrever hipertrofia]
Órbitas: [descrever se incluídas]

IMPRESSÃO:
[Resumo dos achados]",Radiologia de Cabeça e Pescoço,RadReport (RSNA)
